geocode,municipio,casos_total,casos_est,temp_min_media,temp_med_media,temp_max_media,umid_min_media,umid_med_media,umid_max_media,populacao,pib_bruto_mil,pct_esgoto,pct_agua,pct_lixo_coletado,area_km2,pib_percapita,incidencia,dens_demog,grupo
3504404,Avanhandava,351,351,19.40864917582417,24.05109587912088,29.297672252747255,44.991519780219775,64.08958791208791,82.50543131868132,11436,295755,97.1178298954507,96.43967222379203,96.72223792031647,339.22223544094885,25861.752360965373,3069.2549842602307,33.71241270530085,1
3504503,Avaré,5469,5469,16.689493681318684,20.68158489010989,25.71893489010989,52.041435164835164,73.18521126373626,90.04182829670329,96450,4408538,93.92138120556783,94.1513829977896,98.34219487424576,1215.7810914630213,45708.014515292896,5670.295489891136,79.33171578111649,1
3504602,Bady Bassitt,3231,3231,19.3092445054945,24.030489835164836,29.409491758241746,44.106562362637355,62.16784148351648,78.91954478021978,29346,762195,95.52118899377385,95.39064069090179,98.93552922273548,110.51643130613158,25972.70496830914,11010.01840114496,265.53517565828105,1
3504701,Balbinos,233,233,18.83515989010989,23.441884340659342,28.733450549450552,44.865540384615386,63.92008846153846,82.31015192307693,3969,82895,92.25092250922509,91.88191881918819,95.38745387453874,91.94558313950166,20885.613504661123,5870.496346686823,43.166836997250364,1
3504800,Bálsamo,969,969,19.423352197802192,24.095906043956045,29.44057664835165,43.51866318681318,61.22890494505495,77.73186071428572,9902,367871,94.7411003236246,92.90722761596548,97.81553398058253,150.4768759975078,37151.18157947889,9785.901838012524,65.80413059720883,1
3504909,Bananal,258,258,15.963316758241753,19.442913186813186,23.71836648351648,58.9887521978022,79.0679129120879,93.57228736263737,10097,282444,81.50943396226415,82.10242587601077,96.28032345013477,617.760822386973,27973.06130533822,2555.2144201247897,16.344513336061176,2
3505005,Barão de Antonina,209,209,17.244749450549453,21.227431043956045,26.146888736263737,53.54075494505495,73.77465989010989,89.99201510989012,3632,80403,74.8502994011976,75.52395209580838,99.32634730538922,153.26850846371931,22137.389867841408,5754.405286343613,23.696974912884617,1
3505104,Barbosa,637,637,19.853244780219786,24.39129807692308,29.552879395604396,44.90054010989011,64.53822637362637,83.21154313186813,5627,186923,91.99052132701422,91.89573459715639,93.55450236966824,205.71464895463168,33218.944375333216,11320.419406433268,27.35342392286793,1
3505203,Bariri,283,283,18.67759258241758,23.501065659340664,29.018060164835155,42.25487994505495,62.463652472527464,82.03790824175825,32406,1863764,96.45076176695889,96.29755723891395,98.0508979487616,445.4984580691986,57512.92970437573,873.2950688144172,72.74099250634539,1
3505302,Barra Bonita,763,763,17.735487912087912,22.30947857142857,27.76163681318681,45.38737087912089,67.17201483516484,87.01815879120879,35129,2077901,98.44113541181945,98.55746859004188,99.31751202109508,150.4780687996962,59150.587833413985,2171.9946482962796,233.44930115205548,1
